"pitcher","pos","IP/App","FB%","MPH","DIFF","AGG","WHIFF%","appearances"
"Cam Bedrosian","RP",0.866666666666667,0.732960784313725,94.3927379651381,11.2234136561138,0.179090127753831,0.180901960784314,51
"Carl Edwards","RP",0.82,0.6836,93.4289754689755,12.9932611832612,0.158540874330348,0.2316,5
"Carlos Carrasco","RP",1.54411764705882,0.602029411764706,95.5667674844015,10.3964798523044,0.186458179832817,0.268941176470588,34
"Carlos Carrasco","SP",5.85882352941176,0.563745098039216,94.6840166002025,8.16079036969496,0.164691431819413,0.244,51
"Carlos Contreras","RP",1.07435897435897,0.733846153846154,92.4398541291839,10.25553320501,0.152449797095163,0.221051282051282,39
"Carlos Frias","RP",1.84117647058824,0.872764705882353,93.6034930530655,8.20275712232956,0.199245546122912,0.242352941176471,17
"Carlos Frias","SP",5.00666666666667,0.885133333333333,92.7103052024332,9.4691155587436,0.173088092614058,0.191466666666667,15
"Carlos Marmol","RP",0.872463768115942,0.474594202898551,93.6074439336741,8.65714328224362,0.186197785978121,0.262159420289855,69
"Carlos Martinez","RP",1.09318181818182,0.671954545454545,96.7332760428819,12.4552089150633,0.170407088838526,0.242295454545455,88
"Carlos Martinez","SP",5.57027027027027,0.607162162162162,95.3450219337147,9.73831564477753,0.177529041476029,0.238810810810811,37
"Carlos Rodon","RP",2.03333333333333,0.668,94.3653919225348,6.7328744400173,0.257407407407407,0.193333333333333,3
"Carlos Rodon","SP",5.65652173913043,0.60495652173913,93.1993511930224,6.70043502440947,0.169149159864895,0.231826086956522,23
"Carlos Torres","RP",1.07612903225806,0.836896774193548,90.6005750525992,11.1195403191035,0.213274021543395,0.198428571428571,155
"Carlos Torres","SP",5.34,0.8285,89.3147628529182,9.79198712562622,0.198163324668949,0.2429,10
"Carlos Villanueva","RP",1.40761904761905,0.436952380952381,88.7866173700129,8.49222868846424,0.174531242754516,0.24732380952381,105
"Carlos Villanueva","SP",5.275,0.46875,87.4381694466349,8.36399296624803,0.163230366178204,0.19525,20
"Carson Smith","RP",0.896202531645569,0.535607594936709,92.7976824345631,8.07047566624378,0.207787611403632,0.273948717948718,79
"Carter Capps","RP",0.964,0.67887,96.6187615607467,12.9109913112368,0.185473486093307,0.316,100
"Casey Coleman","RP",1.19,0.6938,93.9617366094281,10.432617561809,0.174939613992246,0.0807,10
"Casey Fien","RP",0.805769230769231,0.518307692307692,92.0903867103332,6.14425541571252,0.199504633078569,0.223807692307692,208
"Casey Janssen","RP",0.813636363636363,0.780545454545455,88.8565533890761,11.4321765097366,0.164656182575286,0.165318181818182,154
"Casey Kelly","RP",2,0.762,91.515625,7.765625,0.214285714285714,0.28,1
